Names,Units,Type,Per Component,Per Section,Sensitivity,Description,Human Name
CHROMATOGRAPHY_TYPE,,string,0,0,0,Specifies the type of mass transport model,Chromatography Type
NCOMP,,int,0,0,0,Number of chemical components in the chromatographic media,# Components
ADSORPTION_TYPE,,string,0,0,0,Specifies the type of adsorption model,Adsorption Type
INIT_C,mol/m^3,double,1,0,0,A vector with initial concentrations for each comp. in the mobile phase,Mobile Initial Concentration
INIT_Q,mol/m^3,double,1,0,0,Same as INIT_C but for the bound phase,Bound Initial Concentration
COL_DISPERSION,m^2/s,double,0,0,1,Axial dispersion coefficient,Column Dispersion
COL_LENGTH,m,double,0,0,1,Column length,Column Length
COL_POROSITY,,double,0,0,1,Column porosity,Column Porosity
FILM_DIFFUSION,m/s,double,1,0,1,A vector with film diffusion coefficients,External Mass Transfer Diffusion
PAR_DIFFUSION,m^2/s,double,1,0,1,A vector with particle diffusion coefficients,Particle Pore Diffusion
PAR_POROSITY,,double,0,0,1,Particle porosity,Particle Porosity
PAR_RADIUS,m,double,0,0,1,Particle radius,Particle Radius
PAR_SURFDIFFUSION,m^2/s,double,1,0,1,A vector with particle surface diffusion coefficients,Particle Surface Diffusion
VELOCITY,m/s,double,0,0,1,Interstitial velocity of the mobile phase,Velocity
NSEC,,int,0,0,0,Number of sections,Number of Sections
SECTION_TIMES,s,blob,0,0,0,A vector with simulation times at which inlet function is discontinous; including start and end times,Section Times
SECTION_CONTINUITY,,blob,0,0,0,A vector indicating continuity of each section transition,Section Continuity
CONST_COEFF,,double,1,1,1,A vector with constant coefficients for inlet concentrations,Constant
LIN_COEFF,,double,1,1,1,A vector with linear coefficients for inlet concentrations,Linear
QUAD_COEFF,,double,1,1,1,A vector with quadratic coefficients for inlet concentrations,Quadratic
CUBE_COEFF,,double,1,1,1,A vector with cubic coefficients for inlet concentrations,Cubic
EXT_VELOCITY,m/s,blob,0,0,0,Velocity of the external profile in positive column axial direction,External Velocity
EXT_PROFILE,,blob,0,0,0,A vector with external measurements T,External Profile
EXT_PROF_DELTA,m,blob,0,0,0,A vector with distances of the external measurements (first entry must be 0.0),External Profile Delta
NCOL,,int,0,0,0,Number of column (axial) discretization cells,Column Discretization
NPAR,,int,0,0,0,Number of particle (radial) discretization cells,Particle Discretization
PAR_DISC_TYPE,,string,0,0,0,Specifies the discretization scheme inside the particles,Particle Discretization Type
PAR_DISC_VECTOR,,blob,0,0,0,A vector with node coordinates for the cell boundaries,Particle Discretization Vector
RECONSTRUCTION,,string,0,0,0,Type of reconstruction method for fluxes,Reconstruction
BOUNDARY_MODEL,,int,0,0,0,"Boundary model type: 0 = Lower WENO order (stable), 1 = Zero weights for small Dax), 2 = Zero weights for p 6= 0 (stable?), 3 = Large ghost points (unstable",Boundary Model
WENO_EPS,,double,0,0,0,WENO epsilon,WENO epsilon
WENO_ORDER,,int,0,0,0,"WENO Order: 1 = standard upwind scheme, 2, 3; also called WENO K",WENO order
LOG_LEVEL,,string,0,0,0,"Specifies the verbosity of the logging output (Only errors; warning and errors; info and warnings and errors, etc.)",Logging Level
PRINT_CONFIG,,boolean,0,0,0,Print configuration message before simulation,Print Configuration
PRINT_PARAMLIST,,boolean,0,0,0,Print list of parameters before simulation,Print Paramter List
PRINT_PROGRESS,,boolean,0,0,0,Print current state of simulation,Print Progress
PRINT_STATISTICS,,boolean,0,0,0,Print integrator statistics after each section,Print Statistics
PRINT_TIMING,,boolean,0,0,0,Print timing information after simulation,Print Timing
USE_ANALYTIC_JACOBIAN,,boolean,0,0,0,Use analytically computed jacobian matrix (faster) instead of jacobian generated by algorithmic differentiation (slower),Use Analytical Jacobian
USER_SOLUTION_TIMES,,blob,0,0,0,A vector with timepoints at which a solution is desired,User Solution Times
WRITE_AT_USER_TIMES,,boolean,0,0,0,Write solutions at times specified by USER_SOLUTION_TIMES (write integration timepoints otherwise),Write at User Times
WRITE_SOLUTION_TIMES,,boolean,0,0,0,Write times at which a solution was produced,Write Solution Times
WRITE_SOLUTION_COLUMN_INLET,,boolean,0,0,0,Write solutions at column inlet (boundary condition),Write Solution Inlet
WRITE_SOLUTION_COLUMN_OUTLET,,boolean,0,0,0,Write solutions at column outlet (chromatograms),Write Solution Outlet
WRITE_SOLUTION_ALL,,boolean,0,0,0,Write all (intermediate) solutions,Write Full 5D solution
WRITE_SENS_COLUMN_OUTLET,,boolean,0,0,0,Write sensitivity data at column outlet,Write Sensitivity Outlet
WRITE_SENS_ALL,,boolean,0,0,0,Write all (intermediate) sensitivity data,Write 5D Sensitivity
GS_TYPE,,int,0,0,0,"Type of Gram-Schmidt orthogonalization, see IDAS guide 4.5.7.3, 41f.",Gram-Schmidt Type
MAX_KRYLOV,,int,0,0,0,Defines the size of the iterative linear SPGMR solver (0: MAX_KRYLOV = NCOL),Max Krylov Vectors
MAX_RESTARTS,,int,0,0,0,"Maximum number of restarts in the GMRES algorithm. If lack of memory isn't an issue, better use a larger Krylov space than restarts",Max Restarts
SCHUR_SAFETY,,double,0,0,0,"Schur safety factor; Influences the tradeof between linear iterations and nonlinear error control; see IDAS guide 2.1, 5",Schur Safety
ABSTOL,,double,0,0,0,Absolute tolerance in the solution of the original system,Absolute Tolerance
RELTOL,,double,0,0,0,Relative tolerance in the solution of the original system,Relative Tolerance
INIT_STEP_SIZE,,double,0,0,0,"Factor which is multiplied by the section length to get initial integrator stepsize (0.0: IDAS default value), see IDAS guide 4.5, 36f.",Initial Step Size
MAX_STEPS,,int,0,0,0,"Maximum number of timesteps taken by IDAS (0: IDAS default = 500), see IDAS guide 4.5, 36",Max Steps
NSENS,,int,0,0,0,Number of sensitivities to be computed,Number of Sensitivities
